date,number_of_strikes,center_point_geom
2016-01-01,870,POINT(-89.4 48.6)
2016-01-01,3782,POINT(-115.1 42.9)
2016-01-01,3102,POINT(-117.6 38.8)
2016-01-01,476,POINT(-66.2 45.4)
2016-01-01,4436,POINT(-101.4 28.7)
2016-01-01,3454,POINT(-111.4 25.4)
2016-01-01,3181,POINT(-114.7 41.6)
2016-01-01,2929,POINT(-84.9 27.4)
2016-01-01,140,POINT(-88.4 27.8)
2016-01-01,1695,POINT(-86.4 42.9)
2016-01-02,779,POINT(-119.7 31.5)
2016-01-02,2401,POINT(-71.4 40.1)
2016-01-02,2443,POINT(-101.6 47.0)
2016-01-02,1194,POINT(-106.2 32.6)
2016-01-02,4565,POINT(-97.3 30.2)
2016-01-02,3395,POINT(-101.6 27.6)
2016-01-02,4127,POINT(-73.2 28.1)
2016-01-02,4853,POINT(-69.2 26.5)
2016-01-02,2914,POINT(-106.8 27.1)
2016-01-02,484,POINT(-73.2 35.4)
2016-01-03,1092,POINT(-78.1 32.7)
2016-01-03,2568,POINT(-69.2 42.0)
2016-01-03,2057,POINT(-110.3 45.9)
2016-01-03,2757,POINT(-90.4 43.8)
2016-01-03,985,POINT(-108.5 37.7)
2016-01-03,1816,POINT(-75.6 27.5)
2016-01-03,199,POINT(-124.7 42.0)
2016-01-03,2744,POINT(-91.1 33.7)
2016-01-03,3015,POINT(-104.6 27.1)
2016-01-03,4668,POINT(-105.6 45.2)
2016-01-04,1909,POINT(-86.3 33.1)
2016-01-04,1277,POINT(-73.9 30.2)
2016-01-04,1538,POINT(-88.4 45.9)
2016-01-04,3212,POINT(-73.8 46.7)
2016-01-04,3566,POINT(-109.1 33.1)
2016-01-04,3900,POINT(-93.8 33.5)
2016-01-04,656,POINT(-98.0 38.9)
2016-01-04,2898,POINT(-124.3 42.6)
2016-01-04,2445,POINT(-91.6 26.5)
2016-01-04,610,POINT(-85.3 39.2)
2016-01-05,2373,POINT(-89.5 47.9)
2016-01-05,2071,POINT(-80.8 31.3)
2016-01-05,251,POINT(-90.7 46.8)
2016-01-05,2051,POINT(-121.0 47.8)
2016-01-05,2834,POINT(-118.0 31.5)
2016-01-05,2622,POINT(-89.2 43.1)
2016-01-05,1373,POINT(-108.5 30.7)
2016-01-05,1488,POINT(-120.2 42.7)
2016-01-05,2566,POINT(-99.2 44.1)
2016-01-05,785,POINT(-91.7 30.9)
2016-01-06,4024,POINT(-105.3 42.2)
2016-01-06,44,POINT(-81.8 44.5)
2016-01-06,3162,POINT(-86.4 33.6)
2016-01-06,1965,POINT(-105.0 29.0)
2016-01-06,1595,POINT(-79.7 27.2)
2016-01-06,3953,POINT(-86.1 38.8)
2016-01-06,3083,POINT(-86.8 48.5)
2016-01-06,1031,POINT(-91.8 44.8)
2016-01-06,3471,POINT(-124.3 35.5)
2016-01-06,2623,POINT(-83.2 37.9)
2016-01-07,3853,POINT(-102.4 31.7)
2016-01-07,1510,POINT(-68.4 28.9)
