date,number_of_strikes,center_point_geom
2018-04-13,7,POINT(-114.7 33.3)
2018-12-15,12,POINT(-112.9 26.5)
2018-09-28,16,POINT(-71.1 29.0)
2018-04-17,22,POINT(-90.6 49.0)
2018-03-13,31,POINT(-94.5 28.7)
2018-07-08,11,POINT(-93.8 26.4)
2018-01-21,21,POINT(-109.2 36.1)
2018-04-13,4,POINT(-84.1 40.1)
2018-05-02,54,POINT(-115.8 41.8)
2018-08-03,10,POINT(-91.3 42.6)
2018-11-27,27,POINT(-91.5 21.1)
2018-03-29,1,POINT(-74.3 31.8)
2018-04-10,5,POINT(-93.7 43.2)
2018-12-26,14,POINT(-113.1 47.1)
2018-06-01,43,POINT(-91.4 38.1)
2018-05-11,15,POINT(-115.4 21.6)
2018-05-30,54,POINT(-109.8 31.9)
2018-11-05,14,POINT(-118.4 22.2)
2018-09-15,14,POINT(-94.3 42.5)
2018-12-10,3,POINT(-115.8 21.9)
2018-10-21,33,POINT(-96.5 25.6)
2018-07-11,6,POINT(-73.4 32.5)
2018-10-04,46,POINT(-84.0 33.9)
2018-06-10,49,POINT(-116.1 32.2)
2018-11-10,58,POINT(-108.8 33.9)
2018-01-22,15,POINT(-86.3 41.4)
2018-09-10,23,POINT(-75.3 31.1)
2018-08-24,31,POINT(-118.4 36.4)
2018-12-11,3,POINT(-79.4 29.1)
2018-02-18,19,POINT(-91.9 30.6)
2018-02-28,1,POINT(-92.7 38.4)
2018-06-19,14,POINT(-72.1 34.7)
2018-07-07,4,POINT(-82.6 41.7)
2018-09-28,5,POINT(-77.5 36.8)
2018-07-09,10,POINT(-102.3 44.1)
2018-06-24,12,POINT(-92.3 33.3)
2018-02-20,20,POINT(-89.2 34.7)
2018-12-30,2,POINT(-103.9 40.1)
2018-02-24,15,POINT(-91.5 26.6)
2018-09-01,5,POINT(-108.2 31.6)
2018-11-16,18,POINT(-112.8 38.7)
2018-05-11,21,POINT(-101.3 20.9)
2018-11-03,17,POINT(-83.0 33.1)
2018-05-15,27,POINT(-74.2 38.0)
2018-01-21,9,POINT(-97.1 49.0)
2018-11-25,29,POINT(-87.9 46.3)
2018-06-16,12,POINT(-114.8 28.4)
2018-10-01,14,POINT(-74.8 35.2)
2018-03-30,21,POINT(-91.6 21.7)
2018-11-12,1,POINT(-81.0 27.2)
2018-01-14,22,POINT(-80.3 43.2)
2018-08-30,20,POINT(-107.2 23.7)
2018-09-22,8,POINT(-93.5 27.7)
2018-12-12,2,POINT(-72.0 48.3)
2018-02-22,2,POINT(-115.5 44.7)
2018-12-06,52,POINT(-85.8 43.5)
2018-04-02,24,POINT(-71.9 45.9)
2018-09-21,3,POINT(-105.0 42.5)
2018-02-04,9,POINT(-76.9 23.6)
2018-07-25,18,POINT(-73.3 35.5)
2018-03-22,37,POINT(-82.6 33.3)
2018-02-19,1,POINT(-108.4 29.3)
2018-12-26,6,POINT(-103.3 45.0)
2018-01-02,45,POINT(-118.2 33.9)
2018-02-23,1,POINT(-78.4 21.8)
2018-04-16,5,POINT(-77.5 28.2)
2018-09-17,64,POINT(-88.4 26.9)
2018-11-06,20,POINT(-102.4 46.6)
2018-07-10,7,POINT(-116.2 39.4)
2018-08-06,2,POINT(-82.3 36.8)
2018-02-13,1,POINT(-83.7 35.2)
2018-06-11,6,POINT(-74.4 39.5)
2018-07-21,43,POINT(-83.5 42.6)
2018-09-27,11,POINT(-78.6 36.6)
2018-12-17,26,POINT(-82.7 48.1)
2018-10-31,51,POINT(-88.5 49.3)
2018-09-28,11,POINT(-98.7 49.9)
2018-08-03,5,POINT(-74.9 40.1)
2018-09-09,15,POINT(-87.5 48.0)
2018-07-09,48,POINT(-100.1 32.1)
2018-10-23,33,POINT(-115.8 45.8)
2018-08-01,2,POINT(-105.5 47.3)
2018-07-27,24,POINT(-92.8 47.1)
2018-08-25,17,POINT(-106.2 44.9)
2018-12-04,48,POINT(-108.9 32.2)
2018-02-22,3,POINT(-93.6 24.8)
2018-10-07,16,POINT(-111.5 30.0)
2018-08-05,43,POINT(-80.0 43.0)
2018-09-09,11,POINT(-95.8 27.0)
2018-07-07,14,POINT(-91.3 34.3)
2018-02-10,2,POINT(-112.6 37.0)
2018-06-06,7,POINT(-103.8 38.1)
2018-01-15,8,POINT(-99.5 48.1)
2018-10-28,59,POINT(-79.6 39.8)
2018-03-06,7,POINT(-81.5 43.6)
2018-12-11,13,POINT(-108.9 37.5)
2018-11-23,23,POINT(-89.2 45.0)
2018-01-09,4,POINT(-107.8 27.9)
2018-12-10,14,POINT(-70.6 26.3)
2018-05-09,27,POINT(-72.4 47.8)
2018-05-16,41,POINT(-91.8 40.8)
2018-03-04,20,POINT(-85.1 40.1)
2018-05-19,23,POINT(-79.9 34.0)
2018-03-22,3,POINT(-84.0 31.3)
2018-06-12,59,POINT(-85.0 36.7)
2018-10-16,3,POINT(-72.1 23.6)
2018-09-18,30,POINT(-90.2 33.6)
2018-08-19,7,POINT(-88.2 33.7)
2018-02-10,55,POINT(-77.5 36.2)
2018-01-28,26,POINT(-86.5 39.0)
2018-05-15,29,POINT(-83.4 48.7)
2018-07-20,5,POINT(-108.3 39.6)
2018-11-24,12,POINT(-101.4 46.5)
2018-09-25,20,POINT(-112.6 36.7)
2018-02-02,30,POINT(-94.7 38.8)
2018-02-17,3,POINT(-97.2 22.1)
2018-03-03,66,POINT(-70.1 24.0)
2018-08-04,45,POINT(-89.4 37.4)
2018-10-20,7,POINT(-80.7 31.9)
2018-04-09,35,POINT(-103.3 44.0)
2018-06-21,15,POINT(-78.4 36.3)
2018-12-26,13,POINT(-89.2 46.5)
