Company,Valuation,Date Joined,Industry,City,Country/Region,Continent,Year Founded,Funding,Select Investors
Bytedance,$180B,4/7/17,Fintech,San Francisco,India,Europe,2007,$790M,"Sequoia Capital, Tiger Global, Accel"
SpaceX,$100B,12/1/12,E-commerce & direct-to-consumer,Berlin,China,North America,2008,$187M,"Sequoia Capital, Tiger Global, Accel"
SHEIN,$100B,7/3/18,Mobile & telecommunications,Bengaluru,Germany,Asia,2004,$652M,"Sequoia Capital, Tiger Global, Accel"
Stripe,$95B,1/23/14,E-commerce & direct-to-consumer,Bengaluru,China,Asia,2005,$500M,"Sequoia Capital, Tiger Global, Accel"
Klarna,$46B,12/12/11,Mobile & telecommunications,San Francisco,United States,North America,1996,$687M,"Sequoia Capital, Tiger Global, Accel"
Company_5,$21B,04/10/10,Other,Shenzhen,Germany,Europe,2019,$145M,"Sequoia Capital, Tiger Global, Accel"
Company_6,$39B,04/30/10,Other,Berlin,United Kingdom,North America,2020,$771M,"Sequoia Capital, Tiger Global, Accel"
Company_7,$19B,05/19/10,Other,Berlin,China,Europe,2003,$562M,"Sequoia Capital, Tiger Global, Accel"
Company_8,$23B,06/08/10,"Supply chain, logistics, & delivery",New York,United States,Asia,2011,$691M,"Sequoia Capital, Tiger Global, Accel"
Company_9,$11B,06/28/10,E-commerce & direct-to-consumer,Bengaluru,India,Europe,2020,$409M,"Sequoia Capital, Tiger Global, Accel"
Company_10,$11B,07/18/10,Mobile & telecommunications,San Francisco,Germany,Asia,1997,$185M,"Sequoia Capital, Tiger Global, Accel"
Company_11,$24B,08/07/10,Fintech,New York,China,Europe,2018,$191M,"Sequoia Capital, Tiger Global, Accel"
Company_12,$36B,08/27/10,Artificial intelligence,London,China,Europe,2000,$759M,"Sequoia Capital, Tiger Global, Accel"
Company_13,$40B,09/15/10,Fintech,Beijing,United Kingdom,Europe,1999,$772M,"Sequoia Capital, Tiger Global, Accel"
Company_14,$24B,10/05/10,Artificial intelligence,Berlin,United Kingdom,North America,1999,$813M,"Sequoia Capital, Tiger Global, Accel"
Company_15,$3B,10/25/10,Internet software & services,London,India,North America,2016,$341M,"Sequoia Capital, Tiger Global, Accel"
Company_16,$22B,11/14/10,Fintech,London,India,Asia,2009,$101M,"Sequoia Capital, Tiger Global, Accel"
Company_17,$2B,12/04/10,Data management & analytics,Shenzhen,United States,Asia,2017,$324M,"Sequoia Capital, Tiger Global, Accel"
Company_18,$24B,12/24/10,Data management & analytics,Beijing,United States,North America,2011,$844M,"Sequoia Capital, Tiger Global, Accel"
Company_19,$44B,01/13/11,Consumer & retail,London,India,Asia,2003,$688M,"Sequoia Capital, Tiger Global, Accel"
Company_20,$30B,02/01/11,E-commerce & direct-to-consumer,London,India,North America,1997,$215M,"Sequoia Capital, Tiger Global, Accel"
Company_21,$38B,02/21/11,Artificial intelligence,Beijing,Germany,Europe,2014,$765M,"Sequoia Capital, Tiger Global, Accel"
Company_22,$2B,03/13/11,Artificial intelligence,Beijing,United Kingdom,Asia,2020,$202M,"Sequoia Capital, Tiger Global, Accel"
Company_23,$21B,04/02/11,E-commerce & direct-to-consumer,London,United States,Asia,2011,$293M,"Sequoia Capital, Tiger Global, Accel"
Company_24,$33B,04/22/11,"Supply chain, logistics, & delivery",Beijing,United Kingdom,North America,2021,$265M,"Sequoia Capital, Tiger Global, Accel"
Company_25,$12B,05/12/11,Consumer & retail,London,United Kingdom,Asia,2004,$189M,"Sequoia Capital, Tiger Global, Accel"
Company_26,$22B,05/31/11,"Supply chain, logistics, & delivery",London,India,Asia,1997,$785M,"Sequoia Capital, Tiger Global, Accel"
Company_27,$44B,06/20/11,"Supply chain, logistics, & delivery",Shenzhen,Germany,Europe,2012,$221M,"Sequoia Capital, Tiger Global, Accel"
Company_28,$25B,07/10/11,"Supply chain, logistics, & delivery",San Francisco,China,Asia,2012,$242M,"Sequoia Capital, Tiger Global, Accel"
Company_29,$49B,07/30/11,E-commerce & direct-to-consumer,London,Germany,Europe,2011,$205M,"Sequoia Capital, Tiger Global, Accel"
Company_30,$27B,08/19/11,"Supply chain, logistics, & delivery",New York,Germany,North America,2018,$527M,"Sequoia Capital, Tiger Global, Accel"
Company_31,$42B,09/08/11,Data management & analytics,Berlin,United Kingdom,Asia,1997,$404M,"Sequoia Capital, Tiger Global, Accel"
Company_32,$28B,09/27/11,Other,Bengaluru,Germany,Europe,1997,$416M,"Sequoia Capital, Tiger Global, Accel"
Company_33,$16B,10/17/11,Internet software & services,San Francisco,United States,North America,2000,$734M,"Sequoia Capital, Tiger Global, Accel"
Company_34,$15B,11/06/11,Artificial intelligence,San Francisco,United Kingdom,Asia,2007,$108M,"Sequoia Capital, Tiger Global, Accel"
Company_35,$47B,11/26/11,Artificial intelligence,San Francisco,United States,North America,2018,$873M,"Sequoia Capital, Tiger Global, Accel"
Company_36,$44B,12/16/11,Internet software & services,Shenzhen,China,Asia,2009,$172M,"Sequoia Capital, Tiger Global, Accel"
Company_37,$3B,01/05/12,E-commerce & direct-to-consumer,London,United Kingdom,North America,2019,$458M,"Sequoia Capital, Tiger Global, Accel"
Company_38,$37B,01/25/12,Fintech,Shenzhen,China,North America,2003,$322M,"Sequoia Capital, Tiger Global, Accel"
Company_39,$7B,02/13/12,E-commerce & direct-to-consumer,London,United Kingdom,Europe,1998,$515M,"Sequoia Capital, Tiger Global, Accel"
Company_40,$21B,03/04/12,Artificial intelligence,Shenzhen,India,North America,2008,$652M,"Sequoia Capital, Tiger Global, Accel"
Company_41,$9B,03/24/12,Artificial intelligence,Shenzhen,Germany,Asia,1999,$469M,"Sequoia Capital, Tiger Global, Accel"
Company_42,$39B,04/13/12,Internet software & services,Berlin,India,Asia,1996,$815M,"Sequoia Capital, Tiger Global, Accel"
Company_43,$18B,05/03/12,"Supply chain, logistics, & delivery",New York,China,Europe,2005,$363M,"Sequoia Capital, Tiger Global, Accel"
Company_44,$4B,05/23/12,E-commerce & direct-to-consumer,Shenzhen,Germany,Asia,2003,$789M,"Sequoia Capital, Tiger Global, Accel"
Company_45,$25B,06/11/12,Mobile & telecommunications,Berlin,United Kingdom,Asia,2018,$417M,"Sequoia Capital, Tiger Global, Accel"
Company_46,$14B,07/01/12,Internet software & services,Beijing,Germany,Asia,1997,$183M,"Sequoia Capital, Tiger Global, Accel"
Company_47,$9B,07/21/12,Data management & analytics,New York,United States,North America,2021,$417M,"Sequoia Capital, Tiger Global, Accel"
