Student_ID,Gender,Grade_Level,Math_Score,English_Score,Passed
STU_001,Male,Grade 12,67,85,Yes
STU_002,Female,Grade 11,67,68,Yes
STU_003,Male,Grade 11,83,75,Yes
STU_004,Male,Grade 11,83,52,Yes
STU_005,Male,Grade 11,59,68,Yes
STU_006,Female,Grade 11,69,69,No
STU_007,Male,Grade 11,50,81,Yes
STU_008,Male,Grade 12,97,56,Yes
STU_009,Male,Grade 12,94,90,No
STU_010,Female,Grade 11,67,82,Yes
STU_011,Male,Grade 12,64,89,No
STU_012,Male,Grade 10,78,88,Yes
STU_013,Male,Grade 11,72,67,Yes
STU_014,Male,Grade 10,40,89,Yes
STU_015,Female,Grade 10,96,50,No
STU_016,Male,Grade 11,66,60,Yes
STU_017,Female,Grade 12,96,77,Yes
STU_018,Female,Grade 10,91,74,Yes
STU_019,Female,Grade 11,52,99,Yes
STU_020,Male,Grade 10,80,72,Yes
STU_021,Female,Grade 10,42,80,Yes
STU_022,Male,Grade 10,78,79,Yes
STU_023,Female,Grade 10,45,91,Yes
STU_024,Female,Grade 12,47,84,No
STU_025,Female,Grade 10,66,56,Yes
STU_026,Female,Grade 10,48,65,Yes
STU_027,Female,Grade 10,76,75,Yes
STU_028,Female,Grade 12,72,97,Yes
STU_029,Female,Grade 10,90,98,Yes
STU_030,Female,Grade 10,81,51,Yes
STU_031,Male,Grade 12,83,50,Yes
STU_032,Male,Grade 12,63,97,Yes
STU_033,Female,Grade 12,54,61,Yes
STU_034,Female,Grade 10,98,54,Yes
STU_035,Female,Grade 12,93,86,Yes
STU_036,Male,Grade 12,71,81,Yes
STU_037,Female,Grade 10,71,58,Yes
STU_038,Male,Grade 12,63,90,Yes
STU_039,Male,Grade 10,80,84,Yes
STU_040,Male,Grade 11,91,68,Yes
STU_041,Male,Grade 12,88,97,Yes
STU_042,Male,Grade 11,88,65,Yes
STU_043,Female,Grade 10,97,52,Yes
STU_044,Female,Grade 12,91,69,Yes
STU_045,Female,Grade 10,51,73,Yes
STU_046,Female,Grade 11,78,82,Yes
STU_047,Female,Grade 10,41,73,No
STU_048,Male,Grade 12,42,60,Yes
STU_049,Female,Grade 12,88,98,Yes
STU_050,Female,Grade 11,76,57,Yes
STU_051,Male,Grade 10,88,85,Yes
STU_052,Female,Grade 12,95,87,Yes
STU_053,Male,Grade 11,56,89,Yes
STU_054,Female,Grade 12,98,69,No
STU_055,Male,Grade 12,88,84,Yes
STU_056,Female,Grade 10,41,97,No
STU_057,Female,Grade 12,41,74,Yes
STU_058,Male,Grade 10,67,84,Yes
STU_059,Male,Grade 12,93,74,Yes
STU_060,Male,Grade 11,62,78,Yes
STU_061,Male,Grade 12,76,67,Yes
STU_062,Male,Grade 10,71,95,Yes
STU_063,Male,Grade 10,72,67,Yes
STU_064,Male,Grade 11,40,51,No
STU_065,Male,Grade 12,58,84,Yes
STU_066,Female,Grade 12,41,65,Yes
STU_067,Female,Grade 11,92,90,Yes
STU_068,Male,Grade 12,83,85,Yes
STU_069,Female,Grade 12,65,82,Yes
STU_070,Female,Grade 10,71,53,Yes
STU_071,Female,Grade 12,45,82,Yes
STU_072,Female,Grade 12,71,63,No
STU_073,Male,Grade 11,94,70,Yes
STU_074,Female,Grade 11,43,97,Yes
STU_075,Male,Grade 10,94,69,Yes
STU_076,Female,Grade 12,50,57,Yes
STU_077,Female,Grade 12,95,56,Yes
STU_078,Female,Grade 12,98,52,Yes
STU_079,Male,Grade 10,56,66,Yes
STU_080,Female,Grade 10,77,82,Yes
STU_081,Male,Grade 11,63,97,Yes
STU_082,Female,Grade 10,44,61,Yes
STU_083,Male,Grade 12,91,71,Yes
STU_084,Female,Grade 12,73,71,No
STU_085,Male,Grade 10,45,95,Yes
STU_086,Male,Grade 12,61,79,Yes
STU_087,Female,Grade 12,50,87,Yes
STU_088,Male,Grade 10,87,87,Yes
STU_089,Female,Grade 10,55,94,No
STU_090,Female,Grade 12,72,57,Yes
STU_091,Female,Grade 12,48,76,Yes
STU_092,Female,Grade 12,99,76,Yes
STU_093,Female,Grade 11,98,83,Yes
STU_094,Female,Grade 11,45,70,Yes
STU_095,Female,Grade 11,55,79,Yes
STU_096,Female,Grade 10,68,82,Yes
STU_097,Female,Grade 11,42,77,Yes
STU_098,Female,Grade 10,59,96,Yes
STU_099,Female,Grade 10,99,82,Yes
STU_100,Male,Grade 11,98,54,Yes
